神之后裔,激活天赋后，可以使人物体力增加10%
万寿无疆,被攻击时，有2%的概率格挡本次伤害
铁骨铮铮,本职业攻魔道伤害-10点，双防+25-25
　伤风　,所有被自己杀死的敌人，都会感染破伤风
瘟疫之体,被攻击时，1%的概率使对方中毒30秒
召之即来,攻击时，1%的几率，召唤出来一个分身
一掷千金,携带1千万金币，增加1%伤害（最高5%）
起死回生,20%使自己复活（复活后拥有20%血量）
怪物猎人,对怪暴击+5%，对怪吸血+5%
斗转星移,被攻击时，有2%的概率，麻痹敌人3秒
魔神之躯,激活天赋后，可使魔法防御增加25-25！
老而弥坚,每天增加1点物理防御（最高可加25点）
血魔之体,每拥有1000点生命值，可增加5-5双防
枯骨生肉,HP不足15%时，有15%的几率获得治疗
荆棘之体,被攻击时，有5%的概率，触发伤害反弹
避其锋芒,闪避+5，需要小退后生效
　神农　,每吃满一种天材地宝，打怪经验+3%
天雷之力,3%概率召唤雷电，造成自身50%的伤害
一代宗师,等级低于你的玩家，对你的伤害减少10%
寒霜护盾,被攻击时降低敌人2点攻速和1点施法速度，持续10秒
绝处逢生,HP不足20%，有20%概率抵挡本次伤害
阴魂不散,被人杀死后，敌人的诅咒+3，持续60秒
手无寸铁,空手时，生命上限提高20%
坚韧不拔,激活天赋后，自身防止全毒几率+10%
逃之夭夭,HP不足20%，可使移动速度增加20%